plant.height: Error for Ner13W_block_9 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_8 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_7 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_6 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_5 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_4 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_36 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_35 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_34 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_33 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
plant.height: Error for Ner13W_block_32 during SpATs: Error with spat_hetero_env_correct_trait, here is the possible issue with data or computation : The design matrix associated to the fixed part of the model is not of full rank. Please check that there are no redundant components in the fixed part of the model.
